in_op,future_op,mrt_loc,mrt_name,date_opened,other_connections
1,0,Pasir Panjang,Pasir Panjang MRT,8-Oct-11,0
1,0,Labrador Park,Labrador Park MRT,8-Oct-11,0
1,0,Telok Blangah,Telok Blangah MRT,8-Oct-11,0
1,0,HarbourFront,HarbourFront MRT,8-Oct-11,0
0,1,Keppel,Keppel MRT,2025,0
0,1,Cantonment,Cantonment MRT,2025,0
0,1,Prince Edward Road,Prince Edward Road MRT,2025,0
1,1,Bayfront,Bayfront MRT,14-Jan-12,0
1,1,Marina Bay,Marina Bay MRT,14-Jan-12,0
0,1,Sungei Kadut,Sungei Kadut MRT,Mid-2030s,0
1,0,Bukit Panjang,Bukit Panjang MRT,27-Dec-15,1
1,0,Cashew,Cashew MRT,27-Dec-15,0
1,0,Hillview,Hillview MRT,27-Dec-15,0
0,1,Hume,Hume MRT,2025,0
1,0,Beauty World,Beauty World MRT,27-Dec-15,1
1,0,King Albert Park,King Albert Park MRT,27-Dec-15,0
1,0,Sixth Avenue,Sixth Avenue MRT,27-Dec-15,0
1,0,Tan Kah Kee,Tan Kah Kee MRT,27-Dec-15,0
1,0,Botanic Gardens • Kebun Bunga,Botanic Gardens MRT,27-Dec-15,0
1,1,Stevens,Stevens MRT,27-Dec-15,0
1,0,Newton,Newton MRT,27-Dec-15,0
1,0,Little India,Little India MRT,27-Dec-15,0
1,0,Rochor,Rochor MRT,27-Dec-15,0
1,0,Bugis,Bugis MRT,22-Dec-13,0
1,0,Promenade,Promenade MRT,22-Dec-13,0
1,0,Bayfront,Bayfront MRT,22-Dec-13,0
1,0,Downtown,Downtown MRT,22-Dec-13,0
1,0,Telok Ayer,Telok Ayer MRT,22-Dec-13,0
1,0,Chinatown,Chinatown MRT,22-Dec-13,0
1,0,Fort Canning,Fort Canning MRT,21-Oct-17,0
1,0,Bencoolen,Bencoolen MRT,21-Oct-17,0
1,0,Jalan Besar,Jalan Besar MRT,21-Oct-17,0
1,0,Bendemeer,Bendemeer MRT,21-Oct-17,0
1,0,Geylang Bahru,Geylang Bahru MRT,21-Oct-17,0
1,0,Mattar,Mattar MRT,21-Oct-17,0
1,0,MacPherson,MacPherson MRT,21-Oct-17,0
1,0,Ubi,Ubi MRT,21-Oct-17,0
1,0,Kaki Bukit,Kaki Bukit MRT,21-Oct-17,0
1,0,Bedok North,Bedok North MRT,21-Oct-17,0
1,0,Bedok Reservoir,Bedok Reservoir MRT,21-Oct-17,0
1,0,Tampines West,Tampines West MRT,21-Oct-17,0
1,0,Tampines East,Tampines East MRT,21-Oct-17,0
1,0,Upper Changi,Upper Changi MRT,21-Oct-17,0
1,1,Expo,Expo MRT,21-Oct-17,0
0,1,Xilin,Xilin MRT,2024,0
0,1,Sungei Bedok,Sungei Bedok MRT,2024,0
1,0,Woodlands North,Woodlands North MRT,31-Jan-17,0
1,0,Woodlands,Woodlands MRT,31-Jan-17,0
1,0,Woodlands South,Woodlands South MRT,31-Jan-17,0
0,1,Springleaf,Springleaf MRT,2021,0
0,1,Lentor,Lentor MRT,2021,0
0,1,Mayflower,Mayflower MRT,2021,0
0,1,Bright Hill,Bright Hill MRT,2021,0
0,1,Upper Thomson,Upper Thomson MRT,2021,0
1,1,Caldecott,Caldecott MRT,2021,0
0,1,Mount Pleasant,Mount Pleasant MRT,2021,0
1,1,Stevens,Stevens MRT,2021,0
0,1,Napier,Napier MRT,2021,0
0,1,Orchard Boulevard,Orchard Boulevard MRT,2021,0
1,1,Orchard,Orchard MRT,2021,0
0,1,Great World,Great World MRT,2021,0
0,1,Havelock,Havelock MRT,2021,0
1,1,Outram Park,Outram Park MRT,2021,0
0,1,Maxwell,Maxwell MRT,2021,0
0,1,Shenton Way,Shenton Way MRT,2021,0
1,1,Marina Bay,Marina Bay MRT,2021,0
0,1,Marina South,Marina South MRT,2021,0
0,1,Gardens by the Bay • Taman di Pesisiran,Gardens by the Bay MRT,2021,0
0,1,Founders' Memorial • Peringatan Pengasas,Founders Memorial MRT,2027,0
0,1,Tanjong Rhu,Tanjong Rhu MRT,2023,0
0,1,Katong Park,Katong Park MRT,2023,0
0,1,Tanjong Katong,Tanjong Katong MRT,2023,0
0,1,Marine Parade,Marine Parade MRT,2023,0
0,1,Marine Terrace,Marine Terrace MRT,2023,0
0,1,Siglap,Siglap MRT,2023,0
0,1,Bayshore,Bayshore MRT,2023,0
0,1,Bedok South,Bedok South MRT,2024,1
0,1,Sungei Bedok,Sungei Bedok MRT,2024,0
0,1,Changi Airport Terminal 5[e],Changi Airport Terminal 5 MRT,2040,1
1,1,Changi Airport,Changi Airport MRT,2040,0
1,1,Expo,Expo MRT,2040,0
1,1,Tanah Merah,Tanah Merah MRT,2040,0
1,1,Choa Chu Kang,Choa Chu Kang MRT,2026,1
0,1,Choa Chu Kang West,Choa Chu Kang West MRT,2026,0
0,1,Tengah,Tengah MRT,2026,0
0,1,Hong Kah,Hong Kah MRT,2026,0
0,1,Corporation,Corporation MRT,2026,0
0,1,Jurong West,Jurong West MRT,2026,0
0,1,Bahar Junction,Bahar Junction MRT,2026,0
1,1,Boon Lay,Boon Lay MRT,2026,0
0,1,Gek Poh,Gek Poh MRT,2026,0
0,1,Tawas,Tawas MRT,2026,0
0,1,Tengah Plantation,Tengah Plantation MRT,2027,0
0,1,Tengah Park,Tengah Park MRT,2027,0
0,1,Bukit Batok West,Bukit Batok West MRT,2027,0
0,1,Toh Guan,Toh Guan MRT,2027,0
1,1,Jurong East,Jurong East MRT,2027,0
0,1,Jurong Town Hall,Jurong Town Hall MRT,2027,0
0,1,Pandan Reservoir,Pandan Reservoir MRT,2027,0
0,1,Enterprise,Enterprise MRT,2028,0
0,1,Tukang,Tukang MRT,2028,0
0,1,Jurong Hill,Jurong Hill MRT,2028,0
0,1,Jurong Pier,Jurong Pier MRT,2028,0
0,1,Nanyang Gateway,Nanyang Gateway MRT,2028,0
0,1,Nanyang Crescent,Nanyang Crescent MRT,2028,0
0,1,Peng Kang Hill,Peng Kang Hill MRT,2028,0
0,1,Aviation Park,Aviation Park MRT,2029,0
0,1,Loyang,Loyang MRT,2029,0
0,1,Pasir Ris East,Pasir Ris East MRT,2029,0
1,1,Pasir Ris,Pasir Ris MRT,2029,1
0,1,Tampines North,Tampines North MRT,2029,1
0,1,Defu,Defu MRT,2029,0
1,1,Hougang,Hougang MRT,2029,1
0,1,Serangoon North,Serangoon North MRT,2029,0
0,1,Tavistock,Tavistock MRT,2029,0
1,1,Ang Mo Kio,Ang Mo Kio MRT,2029,1
0,1,Teck Ghee,Teck Ghee MRT,2029,0
0,1,Bright Hill,Bright Hill MRT,2029,0
0,1,Elias,Elias MRT,2031,0
1,1,Riviera,828852,2031,0
1,1,Punggol,Punggol MRT,2026,1
